model,dataset,source,title_original,title,link,category,importance,relevance_to_company,who,what,when,consequences,description,company_impact,tags,document_type,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,cost_usd,latency_ms
openai/gpt-oss-120b,annotated_openai_gpt-oss-120b.json,Excel / GS Labs,Законопроект CAS DRM (№ 1215252-8),В Госдуме внесён законопроект о обязательном переходе операторов платного ТВ и аудиовизуальных сервисов на системы условного доступа и DRM из реестра российского ПО с 1 января 2027 года,https://sozd.duma.gov.ru/bill/1215252-8,Регулирование,Высокий,high,Госдума РФ,Законопроект № 1215252‑8,I чтение – осенняя сессия 2026,,"Законопроект предписывает операторам платного ТВ, вещателям и аудиовизуальным сервисам использовать только те системы условного доступа и DRM, которые включены в Единый реестр российского программного обеспечения, начиная с 01.01.2027. При исключении системы из реестра у операторов будет 6‑месячный срок на замену и перевод абонентов.","Законопроект обязывает операторов платного ТВ и аудиовизуальных сервисов использовать системы условного доступа и DRM из реестра российского ПО, что напрямую повышает спрос на решения GS Labs (CAS DRECRYPT/DREGUARD, DRM DREPLUS) и требует их соответствия требованиям реестра.",регулирование; CAS; DRM; реестр российского ПО; цифровое ТВ; OTT,news,984,780,412,1764,0.0002442,10651
openai/gpt-oss-120b,annotated_openai_gpt-oss-120b.json,Excel / GS Labs,О поддержке развития технологий ИИ в РФ (ФЗ № 243-ФЗ),Принят Федеральный закон № 243‑ФЗ о регулировании искусственного интеллекта в России,https://sozd.duma.gov.ru/bill/1271570-8,Регулирование,Средний,low,Российская Федерация (Государственная Дума),"Регулирование ИИ, маркировка ИИ‑контента, уведомление прав пользователей","Принят 26.07.2026, в силу с 01.09.2026; обязательные требования с 01.03.2027",Требования к разработчикам и поставщикам ИИ‑технологий по маркировке и информированию пользователей; возможные изменения в процессах разработки и документооборота.,"ФЗ № 243‑ФЗ вводит рамочное регулирование ИИ, устанавливает режим для больших фундаментальных моделей (≥1 млрд параметров), обязует маркировать ИИ‑контент (ст. 9) и уведомлять пользователей о правах на результат генерации (ст. 10) с 01.03.2027, переходный период до 09.2032.","Закон регулирует маркировку и уведомление по ИИ‑контенту, однако в текущих продуктах GS Labs (CAS/DVR, DRM, OTT) использование генеративных ИИ‑моделей не указано, поэтому прямое влияние ограничено.",ИИ; маркировка контента; регулирование; федеральный закон,regulation,994,876,473,1870,0.000185698,29085
openai/gpt-oss-120b,annotated_openai_gpt-oss-120b.json,Excel / GS Labs,Постановление Правительства № 402 от 13.04.2026 — отраслевые особенности категорирования КИИ в сфере связи,"Постановление Правительства № 402 от 13.04.2026 определило отраслевые признаки значимости и порядок расчёта критериев для объектов КИИ в сфере связи, включив системы условного доступа к телерадиовещанию в перечень типовых объектов",https://passwork.ru/blog/importozamieshchieniie-kii-v-2026/. http://publication.pravo.gov.ru/document/0001202604130022,Регулирование,Высокий,high,Правительство РФ,"Установление отраслевых признаков значимости и методики расчёта критериев для объектов КИИ в сфере связи, включение CAS в перечень типовых объектов","Принято 13.04.2026, в силу с 01.09.2026","Для операторов и поставщиков CAS (в том числе GS Labs) потребуется соблюдение требований к КИИ, возможные дополнительные сертификации и ограничения при эксплуатации.",Впервые в рамках 58‑ФЗ установлен порядок расчёта показателей значимости для критической информационной инфраструктуры (КИИ) в сфере связи; системы условного доступа (CAS) признаны типовыми объектами КИИ.,"Системы условного доступа, являющиеся продуктами GS Labs, теперь классифицируются как объекты КИИ, что потребует соблюдения новых требований к защите и сертификации, влияя на разработку, поставку и эксплуатацию решений.",КИИ; связь; условный доступ; регулирование; 58-ФЗ,regulation,1044,711,303,1755,0.00015219,18411
openai/gpt-oss-120b,annotated_openai_gpt-oss-120b.json,Excel / GS Labs,Обсуждается переход к ОБЯЗАТЕЛЬНОЙ маркировке ИИ-контента (поправки рабочей группы Совета по кодификации),"Рабочая группа Совета при Президенте подготовила проект поправок к закону об ИИ, вводящий обязательную маркировку аудиовизуального контента, созданного большими ИИ‑моделями",GR-дайджест 12–20.08.2026 (Телеспутник),Регулирование,Высокий,high,Рабочая группа Совета при Президенте по кодификации (П. Крашенинников),"Поправки к закону об ИИ и ГК РФ, обязательная маркировка AI‑созданного аудиовизуального контента","Период обсуждения 12–20.08.2026, финальные предложения – конец сентября 2026",Требования к платформам с более чем 500 тыс. пользователей предоставить техническую возможность маркировки; потенциальные новые подзаконные акты уточняют ответственность и процедуры.,"В проекте предлагается заменить добровольную схему маркировки AI‑контента обязательной, а ключевые детали (ответственность, проверка при переносе файлов, пороги использования ИИ) будут уточнены в подзаконных актах.","Потребуется внедрить в продукты функции обязательной маркировки AI‑контента и обеспечить соответствие новым требованиям, что может потребовать доработки DRM/метаданных и интеграций с системами контроля.",ИИ; маркировка контента; регулирование; цифровой ТВ; OTT,regulation,1110,977,641,2087,0.00020716,27305
openai/gpt-oss-120b,annotated_openai_gpt-oss-120b.json,Excel / GS Labs,"Аудитория онлайн-кинотеатров превысила 72 млн подписчиков (TelecomDaily, II кв. 2026)","В России к концу II квартала 2026 г. число подписчиков ведущих онлайн‑кинотеатров превысило 72 млн, рынок видеосервисов вырос на 29,2 % до 220,1 млрд ₽",https://telecomdaily.ru/news/2026/08/05/iaa-telecomdaily-chislo-podpischikov-ok-v-rossii-prevysilo-72-mln,Регулирование,Высокий,high,Пользователи онлайн‑кинотеатров в России,"Количество подписчиков превысило 72 млн, рынок вырос на 29,2 %",II кв. 2026 г.,"Увеличение спроса на OTT‑платформы, DRM‑и CAS‑решения, такие как продукты GS Labs","По итогам II кв. 2026 г. более 72 млн пользователей в России являются подписчиками девяти ведущих онлайн‑кинотеатров; рынок легальных видеосервисов в 2025 г. вырос на 29,2 % до 220,1 млрд ₽.","Рост рынка онлайн‑кинотеатров повышает спрос на OTT‑платформы, DRM и CAS‑решения компании.",онлайн‑кинотеатры; OTT; рынок видеосервисов; рост подписчиков,news,1009,899,526,1908,0.000190163,28193
openai/gpt-oss-120b,annotated_openai_gpt-oss-120b.json,Excel / GS Labs,Разглашение КТ через ИИ-сервисы (судебная практика),Суд признал загрузку рабочих данных в публичные ИИ‑сервисы разглашением коммерческой тайны,https://mos-gorsud.ru/rs/babushkinskij/services/cases/civil/details/73,Регулирование,Средний,medium,Суд,признал загрузку данных в публичные ИИ‑сервисы разглашением коммерческой тайны,2026,"Требует пересмотра практик обработки и передачи данных, в том числе в проектах GS Labs, связанных с аналитикой и ИИ.","Судом установлено, что передача рабочих данных, включая агрегированные отчёты, в публичные ИИ‑сервисы считается разглашением коммерческой тайны, даже без доказательства факта утечки.","Решение может потребовать от GS Labs усиления мер по защите коммерческой тайны при использовании публичных ИИ‑инструментов, что повлияет на внутренние процессы обработки данных.",судебная практика; коммерческая тайна; ИИ‑сервисы; защита данных,news,944,890,526,1834,0.00017962,23362
openai/gpt-oss-120b,annotated_openai_gpt-oss-120b.json,Excel / GS Labs,Кризис рынка ЦОД,"Дефицит мощностей дата‑центров в Москве и Санкт‑Петербурге: сроки подключения 2–5 лет, рост цен на стойки",https://telesputnik.ru/materials/trends/news/rossiiskii-rynok-cod-stol,Регулирование,Средний,medium,Телеком‑операторы и провайдеры дата‑центров,"Недостаток инфраструктуры дата‑центров, рост цен и длительные сроки подключения",II квартал 2026 г.,"Увеличение затрат и задержки при размещении сервисов, требующих вычислительных ресурсов, в том числе OTT‑платформ и систем защиты контента.","В II квартале 2026 г. в Москве и СПб наблюдается дефицит мощностей дата‑центров: сроки подключения к новым площадкам составляют 2–5 лет, цены на стойки 5 кВт выросли на 15,7 % в Москве и на 31,3 % в СПб. Стойки 15–20 кВт, предназначенные для ИИ‑нагрузок, ещё больше сокращают доступную ёмкость.","Недостаток и рост цен на дата‑центры может увеличить расходы GS Labs на размещение своих OTT‑решений и сервисов защиты контента, а также удлинить сроки вывода новых функций для операторов.",ЦОД; рынок; инфраструктура; стоимость; подключение,news,1013,1057,524,2070,0.00021008,31890
openai/gpt-oss-20b,annotated_openai_gpt-oss-20b.json,Excel / GS Labs,Законопроект CAS DRM (№ 1215252-8),"Законопроект об обязательном переходе операторов платного ТВ, вещателей и аудиовизуальных сервисов на системы условного доступа и DRM из реестра российского ПО с 1 января 2027 года",https://sozd.duma.gov.ru/bill/1215252-8,Регулирование,Высокий,high,Госдума РФ,Законопроект № 1215252-8,Осенняя сессия 2026,"Операторы обязаны перейти на системы из реестра к 1.1.2027, иначе 6 месяцев на замену",Обязательный переход операторов платного ТВ на системы условного доступа и DRM из реестра российского ПО с 1 января 2027 года; при исключении используемой системы из реестра — 6 месяцев на замену и перевод абонентов.,"Обязательный переход на системы из реестра напрямую затрагивает продукцию GS Labs, так как они предоставляют CAS/DRM решения, которые должны быть зарегистрированы в реестре. Компания должна убедиться, что её продукты соответствуют требованиям и зарегистрированы до 1 января 2027 года, иначе будет 6 месяцев на замену.",CAS; DRM; реестр; платное ТВ; обязательный переход,regulation,985,831,594,1816,0.00015356,15385
openai/gpt-oss-20b,annotated_openai_gpt-oss-20b.json,Excel / GS Labs,О поддержке развития технологий ИИ в РФ (ФЗ № 243-ФЗ),Федеральный закон №243-ФЗ регулирует использование больших фундаментальных моделей ИИ и вводит маркировку ИИ-контента,https://sozd.duma.gov.ru/bill/1271570-8,Регулирование,Высокий,low,Государство РФ,"Регулирование ИИ, маркировка контента, уведомление пользователей",С 01.09.2026,"Компании, использующие большие модели ИИ, обязаны маркировать контент и информировать пользователей о правах на результаты генерации. Невыполнение может повлечь юридические последствия.","Федеральный закон №243-ФЗ от 26.07.2026 устанавливает рамочное регулирование ИИ, вводит режим для больших фундаментальных моделей (≥1 млрд параметров), обязывает маркировать ИИ‑контент (ст. 9) и уведомлять пользователей о правах на результат генерации (ст. 10) с 01.03.2027, с переходным периодом до 09.2032.","Влияние будет актуально, если GS Labs интегрирует большие модели ИИ в свои решения; в противном случае влияние ограничено.",AI; регулирование; маркировка; права; контент,regulation,1007,1058,727,2065,0.00018139,21008
openai/gpt-oss-20b,annotated_openai_gpt-oss-20b.json,Excel / GS Labs,Постановление Правительства № 402 от 13.04.2026 — отраслевые особенности категорирования КИИ в сфере связи,"Правительство РФ определило критерии значимости и порядок расчёта показателей КИИ в сфере связи, включив системы условного доступа к телерадиовещанию в перечень типовых объектов КИИ",https://passwork.ru/blog/importozamieshchieniie-kii-v-2026/. http://publication.pravo.gov.ru/document/0001202604130022,Регулирование,Высокий,high,Правительство РФ,Определение критериев значимости КИИ и включение CAS в перечень типовых объектов КИИ,"13.04.2026, вступает в силу 01.09.2026","Обязательства по обеспечению безопасности, аудиту и отчетности для объектов КИИ",Постановление Правительства № 402 от 13.04.2026 устанавливает отраслевые признаки значимости и порядок расчёта показателей критериев значимости для объектов КИИ в сфере связи. Системы условного доступа к телерадиовещанию включены в перечень типовых отраслевых объектов КИИ (распоряжение № 360‑р от 26.02.2026).,"Для GS Labs, разрабатывающей CAS‑системы, это означает необходимость соблюдения новых требований к безопасности и отчетности, а также возможные изменения в процессе регистрации и сертификации продуктов в Единый реестр российского ПО.",КИИ; телевидение; условный доступ; регулирование,regulation,1044,665,341,1709,0.00013043,11880
