object_id,title,agency,kind,sozd_bill,regulation_project,regulation_npa_id,pravo_eo,pp_number,fz_number,news_count,n_events,event_types,first_date,last_date,last_stage,last_event,links
npa_529d7d7a42,Александр Новак принял участие в четвёртом дне Восточного экономического форума,—,,,,,,,,1,1,announcement,4 сентября 2026,4 сентября 2026,Александр Новак принял участие в четвёртом дне Восточного экономического форума,Александр Новак принял участие в четвёртом дне Восточного экономического форума,http://government.ru/news/59779/
npa_714273dae3,Дмитрий Григоренко провёл встречу с ИТ-компаниями Приморского края,—,,,,,,,,1,1,announcement,4 сентября 2026,4 сентября 2026,Дмитрий Григоренко провёл встречу с ИТ-компаниями Приморского края,Дмитрий Григоренко провёл встречу с ИТ-компаниями Приморского края,http://government.ru/news/59782/
npa_c66882e9f7,Юрий Трутнев: Могущество России будет прирастать Дальним Востоком,—,,,,,,,,1,1,announcement,4 сентября 2026,4 сентября 2026,Юрий Трутнев: Могущество России будет прирастать Дальним Востоком,Юрий Трутнев: Могущество России будет прирастать Дальним Востоком,http://government.ru/news/59781/
npa_5242cee76b,Юрий Трутнев: Подведены итоги Восточного экономического форума – 2026,—,,,,,,,,2,2,announcement,4 сентября 2026,4 сентября 2026,Юрий Трутнев подвёл предварительные итоги ВЭФ-2026 за три дня: в форуме приняли участие представители 78 стран,Юрий Трутнев подвёл предварительные итоги ВЭФ-2026 за три дня: в форуме приняли участие представители 78 стран,http://government.ru/news/59792/ | http://government.ru/news/59778/
npa_da2177e764,Денис Мантуров ознакомился с производственными мощностями Иркутского завода тяжёлого машиностроения,—,,,,,,,,1,1,announcement,4 сентября 2026,4 сентября 2026,Денис Мантуров ознакомился с производственными мощностями Иркутского завода тяжёлого машиностроения,Денис Мантуров ознакомился с производственными мощностями Иркутского завода тяжёлого машиностроения,http://government.ru/news/59785/
npa_e3ff035dd5,Александр Новак выступил на открытии восьмого Российско-Китайского энергетического бизнес-форума,—,,,,,,,,1,1,announcement,4 сентября 2026,4 сентября 2026,Александр Новак выступил на открытии восьмого Российско-Китайского энергетического бизнес-форума,Александр Новак выступил на открытии восьмого Российско-Китайского энергетического бизнес-форума,http://government.ru/news/59783/
npa_af1bb8812d,"Марат Хуснуллин: Инфраструктурные кредиты обеспечили привлечение более 1,8 трлн рублей внебюджетных инвестиций в ЦФО",—,,,,,,,,1,1,announcement,4 сентября 2026,4 сентября 2026,"Марат Хуснуллин: Инфраструктурные кредиты обеспечили привлечение более 1,8 трлн рублей внебюджетных инвестиций в ЦФО","Марат Хуснуллин: Инфраструктурные кредиты обеспечили привлечение более 1,8 трлн рублей внебюджетных инвестиций в ЦФО",http://government.ru/news/59784/
npa_c2f326385c,"Юрий Трутнев объявил о запуске телевизионного проекта, посвящённого конкурсу «Дальний Восток – земля приключений», на телеканале «Моя планета»",—,,,,,,,,1,1,announcement,4 сентября 2026,4 сентября 2026,"Юрий Трутнев объявил о запуске телевизионного проекта, посвящённого конкурсу «Дальний Восток – земля приключений», на телеканале «Моя планета»","Юрий Трутнев объявил о запуске телевизионного проекта, посвящённого конкурсу «Дальний Восток – земля приключений», на телеканале «Моя планета»",http://government.ru/news/59780/
npa_8be9771396,Дмитрий Чернышенко: 95 новых кластеров «Профессионалитета» начнут работу в 2027 году,—,,,,,,,,1,1,announcement,4 сентября 2026,4 сентября 2026,Дмитрий Чернышенко: 95 новых кластеров «Профессионалитета» начнут работу в 2027 году,Дмитрий Чернышенко: 95 новых кластеров «Профессионалитета» начнут работу в 2027 году,http://government.ru/news/59775/
npa_8e921dc9d4,Марат Хуснуллин принял участие в запуске движения по Южно-Лыткаринской автодороге,—,,,,,,,,1,1,announcement,3 сентября 2026,3 сентября 2026,Марат Хуснуллин принял участие в запуске движения по Южно-Лыткаринской автодороге,Марат Хуснуллин принял участие в запуске движения по Южно-Лыткаринской автодороге,http://government.ru/news/59777/
